id_ulica;id_kod_pocztowy;nazwa
1;1;420-2328 Felis Av.
2;2;795-1442 Et, St.
3;3;3642 Vitae Street
4;4;Ap #113-5031 Magna Avenue
5;5;Ap #931-2921 Odio, Rd.
6;6;P.O. Box 474, 4081 Mollis Rd.
7;7;587 Ipsum St.
8;8;1937 Quisque Street
9;9;Ap #775-4370 Ligula. Av.
10;10;5543 Pede Ave
11;11;5841 In, St.
12;12;P.O. Box 907, 2267 Sed Ave
13;13;2556 Primis Avenue
14;14;P.O. Box 424, 8355 Imperdiet Street
15;15;9816 Mi Avenue
16;16;907-5646 Venenatis St.
17;17;P.O. Box 477, 1648 A, St.
18;18;Ap #637-4854 At Av.
19;19;163-6003 Mi. Street
20;20;P.O. Box 631, 1891 Venenatis Rd.
21;21;381-6172 Aliquet St.
22;22;P.O. Box 812, 2350 Donec Road
23;23;6836 Imperdiet Street
24;24;P.O. Box 818, 9570 Gravida Rd.
25;25;P.O. Box 436, 2076 Augue Road
26;26;178-384 Non, Rd.
27;27;P.O. Box 593, 9334 Gravida Avenue
28;28;937-873 Justo Road
29;29;267-7920 Vestibulum St.
30;30;P.O. Box 922, 723 Purus, Street
31;31;418-1724 Dapibus Rd.
32;32;811-9381 Feugiat. Rd.
33;33;Ap #438-7478 Tristique Rd.
34;34;7607 A Avenue
35;35;2986 Magna. Rd.
36;36;P.O. Box 945, 7715 Sit Rd.
37;37;814-7848 Porttitor Road
38;38;Ap #703-3409 Sed St.
39;39;3262 Gravida. Avenue
40;40;163-6810 Cras Av.
41;41;7166 Placerat St.
42;42;P.O. Box 731, 2167 Lorem Street
43;43;P.O. Box 360, 9647 Commodo Street
44;44;6041 Luctus, St.
45;45;P.O. Box 364, 9409 Sem Street
46;46;5391 Ullamcorper St.
47;47;774-8600 Vitae, St.
48;48;P.O. Box 265, 9291 Duis Av.
49;49;804-5380 Sed Avenue
50;50;Ap #677-1306 Eu St.
51;51;689-7629 Turpis Road
52;52;1766 Tempus Street
53;53;529-192 Arcu. Av.
54;54;Ap #768-589 Mattis. Road
55;55;Ap #786-5378 Eu Ave
56;56;P.O. Box 610, 1292 Erat, Rd.
57;57;8184 Cum Street
58;58;Ap #143-6694 Quisque Ave
59;59;P.O. Box 986, 1663 Pellentesque Ave
60;60;953-4828 Luctus Rd.
61;61;8084 Nec, Rd.
62;62;463-9616 Mi. Rd.
63;63;4491 Neque Rd.
64;64;371-8907 Iaculis Av.
65;65;676-4589 Amet Rd.
66;66;Ap #906-177 Egestas Ave
67;67;Ap #493-9635 Fusce St.
68;68;6908 Et Avenue
69;69;Ap #678-5488 Pharetra St.
70;70;Ap #966-5681 Egestas. Av.
71;71;P.O. Box 759, 9874 Nibh. Avenue
72;72;6763 Malesuada Avenue
73;73;P.O. Box 590, 6311 Malesuada Road
74;74;3413 Lorem, Ave
75;75;P.O. Box 320, 6499 Volutpat Street
76;76;P.O. Box 460, 729 Maecenas Street
77;77;6208 Magna. Road
78;78;Ap #643-2038 Varius Street
79;79;Ap #881-9425 Sagittis. Av.
80;80;P.O. Box 572, 2935 Fames Road
81;81;P.O. Box 184, 7068 Habitant Road
82;82;Ap #409-3553 Cursus Street
83;83;379-5300 Scelerisque Ave
84;84;928-4490 Convallis Avenue
85;85;852 Ornare Av.
86;86;Ap #297-2946 Ac St.
87;87;2312 Dui, Road
88;88;6710 Nulla Road
89;89;P.O. Box 767, 5955 Quis St.
90;90;2103 Molestie Ave
91;91;6759 Proin Road
92;92;341-9868 Accumsan Av.
93;93;744-7806 Enim. Street
94;94;141-4795 Est, Road
95;95;2369 Duis St.
96;96;Ap #684-5242 Massa. St.
97;97;P.O. Box 338, 7317 Iaculis St.
98;98;Ap #604-5123 Posuere, Ave
99;99;P.O. Box 117, 4243 Proin Avenue
100;100;P.O. Box 554, 3211 Nam Av.
id_ulica;id_kod_pocztowy;nazwa
101;101;P.O. Box 512, 9249 Libero Road
102;102;P.O. Box 665, 2942 Consequat St.
103;103;2111 Purus St.
104;104;Ap #509-4145 Varius Road
105;105;P.O. Box 674, 4288 Nunc St.
106;106;336-7250 Elit St.
107;107;P.O. Box 761, 1580 Dolor Avenue
108;108;P.O. Box 576, 1805 Nunc. Road
109;109;845-8678 Placerat, St.
110;110;157-7500 Eu, Rd.
111;111;713-7707 Dictum Rd.
112;112;Ap #849-9616 Curabitur Street
113;113;532-7239 Diam Rd.
114;114;2941 Vestibulum Avenue
115;115;Ap #356-3197 Tristique Avenue
116;116;6553 A St.
117;117;4408 Adipiscing Street
118;118;P.O. Box 263, 1886 Cum Street
119;119;942-2076 Facilisis. St.
120;120;Ap #898-9301 Erat Rd.
121;121;Ap #408-3277 Interdum Rd.
122;122;736-8349 Semper Avenue
123;123;Ap #578-139 Quam Rd.
124;124;Ap #977-5216 Orci, Rd.
125;125;783-5814 Varius Street
126;126;Ap #597-4039 Nullam Road
127;127;P.O. Box 136, 2373 Urna Street
128;128;P.O. Box 159, 2653 Curabitur St.
129;129;Ap #630-8381 Dui Avenue
130;130;Ap #134-4322 Neque Avenue
131;131;Ap #791-7770 Sem, Ave
132;132;P.O. Box 640, 1528 Dui. Ave
133;133;965-7464 Neque Ave
134;134;P.O. Box 464, 2125 Massa. Street
135;135;Ap #868-3050 Faucibus St.
136;136;P.O. Box 667, 547 Penatibus Road
137;137;P.O. Box 177, 5845 Ornare, Avenue
138;138;P.O. Box 512, 1580 Nascetur Street
139;139;506-6282 Elementum, Avenue
140;140;P.O. Box 786, 9395 Elit Rd.
141;141;196-3434 Nec Avenue
142;142;P.O. Box 503, 2583 A, Rd.
143;143;Ap #965-8450 Aliquet. Rd.
144;144;982 Erat, Rd.
145;145;8218 Aliquam Rd.
146;146;P.O. Box 898, 7060 Ac Avenue
147;147;4440 Felis. Road
148;148;Ap #762-9055 Pellentesque Road
149;149;530-3290 Odio, Avenue
150;150;517-8747 Sit St.
151;151;P.O. Box 770, 5366 Ipsum. Street
152;152;8504 Sociis Road
153;153;1830 A Rd.
154;154;Ap #796-7788 Vitae Rd.
155;155;5576 Nec Rd.
156;156;3469 Nulla Road
157;157;Ap #920-8911 Curabitur Street
158;158;506-7118 Egestas. Av.
159;159;608-235 Erat St.
160;160;P.O. Box 700, 8479 Pretium Rd.
161;161;P.O. Box 987, 6129 In, Rd.
162;162;793-3858 Varius Av.
163;163;318-2799 Pretium Avenue
164;164;Ap #994-613 Ornare. Rd.
165;165;403-1806 Ipsum. Rd.
166;166;Ap #747-1860 Luctus St.
167;167;183-3892 Tellus, Av.
168;168;P.O. Box 124, 9225 Velit. Avenue
169;169;P.O. Box 608, 438 Donec St.
170;170;Ap #181-4867 Mauris Av.
171;171;906-5015 Ante Road
172;172;P.O. Box 707, 6662 Quam St.
173;173;3984 Morbi St.
174;174;6184 Sed Road
175;175;P.O. Box 661, 1289 Augue Avenue
176;176;P.O. Box 970, 1470 Morbi Ave
177;177;880-1546 Nunc Rd.
178;178;P.O. Box 727, 5615 Nascetur Avenue
179;179;P.O. Box 692, 879 Suscipit, St.
180;180;Ap #761-7304 Montes, Avenue
181;181;P.O. Box 745, 5698 Ac St.
182;182;4421 Donec St.
183;183;1197 Eu Street
184;184;5114 Pede. Avenue
185;185;3021 Consectetuer Rd.
186;186;P.O. Box 516, 8407 Blandit St.
187;187;Ap #532-9812 Nibh St.
188;188;Ap #195-8313 Phasellus St.
189;189;P.O. Box 952, 1056 Nec, Rd.
190;190;219-1109 Amet, St.
191;191;Ap #124-1188 Convallis Avenue
192;192;6057 Cras St.
193;193;Ap #145-8238 Ante St.
194;194;P.O. Box 748, 3075 Euismod Avenue
195;195;882-7756 Donec Ave
196;196;Ap #290-496 Ut, Street
197;197;9345 Blandit Av.
198;198;3536 A, St.
199;199;Ap #433-9212 Dignissim Rd.
200;200;P.O. Box 696, 1075 In Rd.
201;201;P.O. Box 411, 4127 Curabitur Rd.
202;202;Ap #453-6272 Velit St.
203;203;824-8390 Lorem Ave
204;204;939-8301 Eu, Avenue
205;205;233-7101 Lobortis Ave
206;206;Ap #727-1762 Urna. St.
207;207;312-7375 In Road
208;208;5767 Ullamcorper, Rd.
209;209;393-4344 Ut Rd.
210;210;Ap #203-5083 Eleifend. Rd.
211;211;4161 Lectus Avenue
212;212;Ap #371-4483 Magnis Av.
213;213;P.O. Box 487, 8643 Metus. Street
214;214;Ap #441-4022 Ut St.
215;215;5408 Ac St.
216;216;P.O. Box 546, 8796 Mattis. Av.
217;217;P.O. Box 945, 6659 Laoreet, Rd.
218;218;4374 Semper Road
219;219;111-9736 Posuere Av.
220;220;Ap #985-5322 Et Road
221;221;473-9136 Proin Ave
222;222;4140 Dolor. Road
223;223;Ap #158-8134 Nec Street
224;224;P.O. Box 441, 1947 Dictum Av.
225;225;102-7496 Dictum. Street
226;226;P.O. Box 151, 7751 Ipsum. St.
227;227;8898 Enim. Rd.
228;228;Ap #648-7907 Dignissim St.
229;229;775-8392 Duis Ave
230;230;402-5917 Faucibus St.
231;231;P.O. Box 153, 357 Magnis Street
232;232;1393 Nam St.
233;233;157-4036 Enim St.
234;234;P.O. Box 541, 3486 Fringilla Rd.
235;235;7037 Lobortis Ave
236;236;2380 Dui, St.
237;237;Ap #233-5806 A St.
238;238;660-5801 Libero. Street
239;239;P.O. Box 315, 6358 Erat Rd.
240;240;P.O. Box 488, 2900 Cum Rd.
241;241;P.O. Box 962, 4821 Morbi Ave
242;242;P.O. Box 298, 2287 Felis Ave
243;243;Ap #903-3122 Ornare, St.
244;244;824-7600 Aenean Ave
245;245;P.O. Box 179, 6699 Sollicitudin Ave
246;246;8892 Facilisis Rd.
247;247;1504 Amet, St.
248;248;P.O. Box 473, 1942 Et Rd.
249;249;1867 Sed Street
250;250;4714 Sagittis. Road
251;1;873-5174 Risus. Street
252;2;896-1711 Vestibulum Ave
253;3;P.O. Box 470, 1975 Magna. Street
254;4;1229 Suspendisse Av.
255;5;7970 Arcu. Avenue
256;6;Ap #124-1400 Pede. Rd.
257;7;9299 Sollicitudin St.
258;8;6462 Urna, Rd.
259;9;P.O. Box 907, 4202 Eget Rd.
260;10;Ap #917-6617 Tincidunt St.
261;11;Ap #338-2396 Aliquet Rd.
262;12;113-3228 Sem St.
263;13;P.O. Box 132, 6695 Risus. Avenue
264;14;890-303 Eleifend St.
265;15;Ap #424-8157 Augue, Street
266;16;588 Commodo Street
267;17;905-4449 Ipsum Rd.
268;18;300-2648 Sem St.
269;19;Ap #637-7654 Eget, Av.
270;20;737-6275 Aliquam Av.
271;21;P.O. Box 287, 2365 Magna. Street
272;22;Ap #894-8964 Eu St.
273;23;961-4583 Mauris. Ave
274;24;P.O. Box 214, 8542 Nec Street
275;25;Ap #607-6012 Eleifend Rd.
276;26;497-9292 Augue. Avenue
277;27;Ap #509-5357 Id Av.
278;28;5353 Nunc Rd.
279;29;8290 Maecenas St.
280;30;Ap #457-5232 Non Av.
281;31;P.O. Box 278, 8391 Mauris Rd.
282;32;492-1973 Cras Ave
283;33;P.O. Box 321, 1455 Magna. St.
284;34;Ap #170-8952 Ut Av.
285;35;P.O. Box 782, 6898 Dui. Ave
286;36;176-6092 Nullam Avenue
287;37;525-7241 Aliquam Avenue
288;38;450-2866 Nec Road
289;39;9752 Duis Avenue
290;40;Ap #142-3402 Placerat Street
291;41;Ap #405-5229 Et Avenue
292;42;Ap #802-7747 Tincidunt Av.
293;43;P.O. Box 205, 6060 Non Avenue
294;44;Ap #728-2813 Sollicitudin Avenue
295;45;334-1267 Laoreet, Rd.
296;46;584-1020 Aliquam Rd.
297;47;Ap #500-8102 Ligula Av.
298;48;880-8300 Ut, St.
299;49;P.O. Box 678, 167 Magna. Avenue
300;50;3921 Fusce Rd.
301;51;8629 Dolor Avenue
302;52;132-9671 Felis Street
303;53;5555 Dolor. Street
304;54;208-8179 Etiam Street
305;55;161-6625 Non, St.
306;56;P.O. Box 648, 2648 Tincidunt, Street
307;57;Ap #190-5367 Purus. Street
308;58;Ap #718-8035 Neque Avenue
309;59;1994 Nisi. Avenue
310;60;855-4314 Leo. Avenue
311;61;Ap #641-952 Lectus Rd.
312;62;249-380 Non Rd.
313;63;Ap #892-4209 Id Avenue
314;64;P.O. Box 119, 1156 Euismod Avenue
315;65;Ap #754-984 Sed Road
316;66;762-4868 Eu Avenue
317;67;P.O. Box 701, 3588 Hendrerit. Avenue
318;68;7745 Eros Av.
319;69;P.O. Box 422, 1558 Nunc Rd.
320;70;P.O. Box 826, 7312 Ipsum. Avenue
321;71;7351 Elit, Street
322;72;P.O. Box 271, 248 Auctor St.
323;73;648-7364 Turpis Rd.
324;74;Ap #799-9624 Tincidunt Road
325;75;Ap #222-7185 Aliquet St.
326;76;Ap #269-4096 Faucibus Ave
327;77;Ap #169-1483 Dictum. St.
328;78;1126 Eu, Av.
329;79;Ap #304-4353 Est Ave
330;80;P.O. Box 634, 8540 Felis. St.
331;81;P.O. Box 896, 9341 In Road
332;82;Ap #191-9787 At Street
333;83;P.O. Box 491, 6306 Volutpat St.
334;84;P.O. Box 319, 3767 Ullamcorper, Rd.
335;85;230-2322 Semper, St.
336;86;427 Ullamcorper Rd.
337;87;Ap #599-6664 Placerat, St.
338;88;Ap #255-6541 In Av.
339;89;718-3794 Pellentesque Ave
340;90;Ap #591-2773 Duis Road
341;91;P.O. Box 896, 693 Felis St.
342;92;447-4176 Ipsum. Av.
343;93;Ap #773-6941 Nisi Road
344;94;972-1734 Metus. Rd.
345;95;P.O. Box 914, 2323 Lectus. Street
346;96;3101 Fusce Rd.
347;97;P.O. Box 515, 5768 Nisl. St.
348;98;P.O. Box 418, 8488 Adipiscing Rd.
349;99;617-920 Rutrum Ave
350;100;607-3564 Libero. Avenue
351;101;P.O. Box 369, 6903 Venenatis Avenue
352;102;Ap #186-7527 Et Rd.
353;103;P.O. Box 208, 6576 Aenean Av.
354;104;Ap #942-6157 Amet, Avenue
355;105;P.O. Box 203, 9198 Sagittis. St.
356;106;3828 Parturient Rd.
357;107;P.O. Box 785, 5361 Et Road
358;108;3348 Convallis Rd.
359;109;Ap #860-6820 Cursus. Ave
360;110;1172 Venenatis St.
361;111;P.O. Box 298, 2412 In Avenue
362;112;Ap #245-7053 Convallis Avenue
363;113;6499 Ullamcorper Road
364;114;Ap #173-2331 Sodales. Rd.
365;115;Ap #935-8182 Nulla. Rd.
366;116;1489 Magna, Rd.
367;117;Ap #396-766 Mi Avenue
368;118;Ap #201-5326 Donec St.
369;119;623-2564 Ac Avenue
370;120;Ap #521-3144 Ipsum Rd.
371;121;P.O. Box 201, 730 Arcu. Rd.
372;122;787-5376 Semper Ave
373;123;Ap #556-9164 Nulla Street
374;124;111-415 Nam Street
375;125;P.O. Box 802, 5597 Turpis. Rd.
376;126;P.O. Box 694, 7589 Ac St.
377;127;907-9583 Ut Road
378;128;813-3816 Libero. Rd.
379;129;Ap #606-5539 Mauris Rd.
380;130;Ap #372-421 Libero. St.
381;131;6841 At, Road
382;132;640-4096 Ipsum. Ave
383;133;P.O. Box 152, 7558 Tincidunt Rd.
384;134;Ap #974-6612 Cubilia Rd.
385;135;Ap #128-7737 Mollis. Av.
386;136;Ap #447-4217 Vel, St.
387;137;6002 Mollis St.
388;138;Ap #212-2306 Mauris St.
389;139;814-8793 Urna Rd.
390;140;2420 Mauris Street
391;141;Ap #522-6153 Pellentesque Rd.
392;142;Ap #632-9800 Sagittis St.
393;143;P.O. Box 390, 2079 Ultrices Rd.
394;144;Ap #716-3664 Sociis St.
395;145;7344 Augue Avenue
396;146;Ap #988-8882 Eu, Rd.
397;147;2599 Nunc Avenue
398;148;320-2416 Id, Ave
399;149;5332 Tellus St.
400;150;8538 Vulputate Ave
401;151;Ap #280-7239 Cursus Rd.
402;152;Ap #372-4248 Duis St.
403;153;P.O. Box 699, 4854 Magna Rd.
404;154;6151 Scelerisque Street
405;155;P.O. Box 113, 4087 Duis St.
406;156;711-8222 Magna. Ave
407;157;2346 Nulla Street
408;158;P.O. Box 656, 2415 Scelerisque Ave
409;159;338-557 Felis. Ave
410;160;285-2575 Pellentesque St.
411;161;Ap #542-3077 Mauris St.
412;162;862-753 Ipsum. St.
413;163;4541 Pellentesque Street
414;164;2497 Purus. St.
415;165;8392 Blandit St.
416;166;Ap #985-3702 Arcu St.
417;167;7700 Sociis Rd.
418;168;P.O. Box 439, 8720 Feugiat. Rd.
419;169;816-411 Orci, Ave
420;170;P.O. Box 916, 5809 Adipiscing Street
421;171;4030 Rhoncus. St.
422;172;P.O. Box 657, 2939 Orci Road
423;173;Ap #570-8646 Mauris Ave
424;174;P.O. Box 268, 8992 Integer Road
425;175;P.O. Box 524, 7923 Molestie Rd.
426;176;4464 Velit. Rd.
427;177;P.O. Box 626, 6889 Ut St.
428;178;549-7935 Lacus Rd.
429;179;627-778 Urna Rd.
430;180;Ap #393-6514 Aliquam Rd.
431;181;P.O. Box 611, 2420 Euismod Road
432;182;6326 Vestibulum, St.
433;183;1466 Metus Avenue
434;184;414-5153 Mi St.
435;185;P.O. Box 644, 8089 Quam St.
436;186;6267 Libero. St.
437;187;Ap #627-3796 Pede. St.
438;188;632-4767 Nec, Avenue
439;189;393-6952 Nulla Rd.
440;190;984-6592 Ante St.
441;191;Ap #183-7270 Integer Road
442;192;P.O. Box 668, 3933 Accumsan Avenue
443;193;1452 Dui Rd.
444;194;890-4015 Fusce Rd.
445;195;756-1172 Elit, Road
446;196;4826 Ridiculus Rd.
